"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000019873.9",8594.28051861175,2.00810044138523,0.108574922250294,18.4950668143794,2.26261473528173e-76,3.0943519119713e-72,"Reep3"
"ENSMUSG00000049532.12",3997.27631430308,1.59643316708621,0.087989717266048,18.1434060329935,1.44774462775306e-73,9.89967776457541e-70,"Sall2"
"ENSMUSG00000011179.9",19518.1832724066,-2.77555360429554,0.162824976135309,-17.0462398962001,3.7275471055661e-65,1.6992644738574e-61,"Odc1"
"ENSMUSG00000055447.20",6454.1341981315,-1.84361339713249,0.108865309556302,-16.9348105897685,2.49159091715393e-64,8.51874934574929e-61,"Cd47"
"ENSMUSG00000027800.15",1418.20749251837,-3.69344311140326,0.22690907826238,-16.2771941064978,1.43290059693521e-59,3.91926971273719e-56,"Tm4sf1"
"ENSMUSG00000042757.17",945.406536634335,-3.23908497096217,0.199722912704163,-16.2178937163811,3.76899783448749e-59,8.59080239740849e-56,"Tmem108"
"ENSMUSG00000004105.9",2079.93071598533,-4.63846520893935,0.291909023364603,-15.8901056071356,7.42024606571159e-57,1.4497040742096e-53,"Angptl2"
"ENSMUSG00000030671.10",3711.00574031099,-1.97283901959623,0.127091615072713,-15.5229675731755,2.42568510370066e-54,4.14670868477628e-51,"Pde3b"
"ENSMUSG00000023909.5",1307.66196467999,1.68398638494031,0.110695213431036,15.2128202543234,2.90743042686266e-52,4.41800205753042e-49,"Paqr4"
"ENSMUSG00000018217.13",3799.75748430779,-1.75970747809097,0.115779071640517,-15.1988390747742,3.59943463156569e-52,4.92258680212923e-49,"Pmp22"
"ENSMUSG00000008035.13",2731.08680300431,1.88710365825009,0.126156173325715,14.9584725701682,1.37137560158622e-50,1.70499388429938e-47,"Mid1ip1"
"ENSMUSG00000028654.14",425.433344580672,3.50820799656688,0.236206596898663,14.8522862723939,6.72359312062671e-50,7.66265495980757e-47,"Mycl"
"ENSMUSG00000032009.9",11738.575932351,2.22819911983378,0.152459833614729,14.614991155405,2.25383668998543e-48,2.37103619786467e-45,"Sesn3"
"ENSMUSG00000033763.15",19588.5311154423,1.55487430105329,0.10758640882354,14.4523301600628,2.42346214682891e-47,2.36737630857373e-44,"Mtss2"
"ENSMUSG00000056481.8",652.353588790272,-3.61892648511524,0.253235427591179,-14.2907590756125,2.49870934456954e-46,2.27815659975553e-43,"Cd248"
"ENSMUSG00000004902.8",633.075874643746,3.46421479258214,0.244664307623986,14.1590525656327,1.64192862406257e-45,1.40343849141748e-42,"Slc25a18"
"ENSMUSG00000017390.16",8881.46098957974,3.3961521094013,0.243822177246631,13.9288072469553,4.23366639469903e-44,3.40586009493553e-41,"Aldoc"
"ENSMUSG00000026837.17",6321.96348894957,-3.45148347480869,0.251426047072172,-13.7276289191228,6.93666683575114e-43,5.27032531365181e-40,"Col5a1"
"ENSMUSG00000022899.11",594.312933362053,3.17828828946638,0.231638219358783,13.7209148743436,7.60990661119626e-43,5.47753067445895e-40,"Slc15a2"
"ENSMUSG00000024782.8",4008.77586375357,1.41721902062166,0.103476828897668,13.6960035953866,1.07267918924265e-42,7.33498029604121e-40,"Ak3"
"ENSMUSG00000044576.7",1390.98652836333,2.57393052097822,0.188048809544982,13.6875661547995,1.20477507637684e-42,7.84595425929985e-40,"Garem2"
"ENSMUSG00000025978.15",2140.94294141679,1.98201107270493,0.145487557793452,13.623234197929,2.9137280811107e-42,1.81127932896681e-39,"Rftn2"
"ENSMUSG00000020099.9",2364.03789839803,-3.84052479024924,0.283297322143814,-13.5565163877533,7.24982777816891e-42,4.31081063887991e-39,"Unc5b"
"ENSMUSG00000050627.14",2332.07499033626,1.71361586265943,0.126963171610577,13.4969522336403,1.62980061698557e-41,9.28714718245609e-39,"Gpd1l"
"ENSMUSG00000041351.17",2193.63431362118,3.54536903300827,0.263462490463148,13.4568265363915,2.80715839579135e-41,1.5356279288337e-38,"Rap1gap"
"ENSMUSG00000027298.18",2295.30476529093,2.10198278445469,0.157430168976877,13.3518422683229,1.15555317605293e-40,6.07820970603843e-38,"Tyro3"
"ENSMUSG00000028383.18",1757.73113054286,2.44190522635982,0.183590499733812,13.3008256413068,2.28926336745217e-40,1.15955428938059e-37,"Hsdl2"
"ENSMUSG00000078202.4",1223.77437432211,3.35484658209076,0.255312722851466,13.140146501992,1.93851071684569e-39,9.46824020127914e-37,"Nrarp"
"ENSMUSG00000044986.11",236.932124063429,3.34727355708093,0.255862323900822,13.0823229698266,4.15543977808189e-39,1.95964808293269e-36,"Tst"
"ENSMUSG00000033629.7",3966.96178483234,1.11807519947504,0.085669310918531,13.0510586286645,6.26704643282924e-39,2.85693756717909e-36,"Hacd3"
"ENSMUSG00000032396.18",1249.11486793301,0.957286857073273,0.0733968339513021,13.0426178560838,7.00112007323218e-39,3.08862316521043e-36,"Dis3l"
"ENSMUSG00000041779.6",2164.93627197779,-2.21329962988076,0.171767760937276,-12.8854193464685,5.4379120131387e-38,2.32402764661515e-35,"Tram2"
"ENSMUSG00000001270.10",49884.1277544113,1.71136049736529,0.133034060607139,12.8640777373479,7.16925129839117e-38,2.97111153808478e-35,"Ckb"
"ENSMUSG00000023830.15",12271.822297278,-2.23385359615935,0.175848244704779,-12.7033033506227,5.66855034313678e-37,2.28009101449231e-34,"Igf2r"
"ENSMUSG00000029378.6",553.95842546061,-4.80409586708224,0.378506347545225,-12.6922465058746,6.52859023230143e-37,2.55100000048441e-34,"Areg"
"ENSMUSG00000019874.12",13337.5733182107,3.97466421086067,0.314618548492152,12.6332799827275,1.38387204766284e-36,5.25717614551029e-34,"Fabp7"
"ENSMUSG00000062937.8",11310.4404231804,-1.91000595564178,0.151583337250111,-12.60036881554,2.10159492678224e-36,7.76794924829024e-34,"Mtap"
"ENSMUSG00000036206.13",6441.27167675383,1.77296364985317,0.1408310759534,12.5892927952907,2.41830239180205e-36,8.70334302902231e-34,"Sh3bp4"
"ENSMUSG00000022272.18",7300.44598447953,1.79056255190151,0.142352537444637,12.5783676500876,2.77708975969864e-36,9.73832809067658e-34,"Myo10"
"ENSMUSG00000077450.14",3245.52161637558,1.19285699190493,0.0950436672170932,12.5506204340819,3.94407523952011e-36,1.34847932439193e-33,"Rab11b"
"ENSMUSG00000041025.16",2150.44603263057,-1.75633242037605,0.140144756105518,-12.5322735518813,4.97167013954252e-36,1.65835514215569e-33,"Iffo2"
"ENSMUSG00000036438.15",34951.9712214914,-1.39826371174103,0.111622748168279,-12.5266913302748,5.33419615287012e-36,1.69652247875934e-33,"Calm2"
"ENSMUSG00000041594.19",231.161684913624,-3.25006169928153,0.259438449303755,-12.5272938841702,5.29383271796286e-36,1.69652247875934e-33,"Tmtc4"
"ENSMUSG00000069135.12",878.496061291334,-1.45401678414768,0.116623089082582,-12.4676579533755,1.12071696950869e-35,3.48339210795473e-33,"Cep43"
"ENSMUSG00000046152.17",1253.42989375306,1.08517796157304,0.0870927640295238,12.4600243621293,1.23332936936156e-35,3.74822499008638e-33,"Fut10"
"ENSMUSG00000040289.9",1096.06722391296,2.51463724540473,0.202205649516555,12.4360385153277,1.6656187353992e-35,4.95195691854771e-33,"Hey1"
"ENSMUSG00000027339.16",1921.31471334307,2.21475232709551,0.179044594253687,12.3698363322684,3.80596126832769e-35,1.10745375118403e-32,"Rassf2"
"ENSMUSG00000020184.16",3513.90333782566,-1.16459459458134,0.0942891619379455,-12.3513092135425,4.79250994971088e-35,1.36546595983846e-32,"Mdm2"
"ENSMUSG00000000142.16",1478.10427779003,2.12592442100833,0.173069772611643,12.2836263602123,1.10912927231893e-34,3.09560243433341e-32,"Axin2"
"ENSMUSG00000066278.7",1523.41233517309,1.35826102975134,0.111699234168189,12.1599851589508,5.07679119230338e-34,1.38860392691882e-31,"Vps37b"
"ENSMUSG00000026193.16",25402.3970996098,-3.17643266995589,0.262744096102538,-12.0894540241782,1.20082055680854e-33,3.220082732336e-31,"Fn1"
"ENSMUSG00000031700.12",9899.44101770134,1.62595133553676,0.135440366465612,12.0049242184351,3.3477040173403e-33,8.804461565605e-31,"Gpt2"
"ENSMUSG00000026457.15",5215.39537250654,-0.993197791025214,0.0827990096997925,-11.9952858690737,3.76116349585614e-33,9.70522112628842e-31,"Adipor1"
"ENSMUSG00000021701.9",16944.984593473,-1.50552742587657,0.125967007342738,-11.951759890431,6.35647393683254e-33,1.609835880743e-30,"Plk2"
"ENSMUSG00000024665.9",11292.2283099675,1.58836605868641,0.13321158504302,11.9236330546885,8.91350562976263e-33,2.21638369077516e-30,"Fads2"
"ENSMUSG00000045179.10",1391.54957015202,2.37422906397792,0.199230569342558,11.9169918141209,9.65313596129988e-33,2.35743370369173e-30,"Sox3"
"ENSMUSG00000095930.2",739.785596056873,1.98630262644627,0.166809968473216,11.9075774944781,1.08071551228742e-32,2.59295883263908e-30,"Nim1k"
"ENSMUSG00000037239.9",1456.84837121005,-1.58453088413006,0.133230117063776,-11.8931884100317,1.2840916406535e-32,3.02779953061678e-30,"Spred3"
"ENSMUSG00000001260.11",705.68435223318,6.33716469993056,0.53420115379587,11.8628809670301,1.84515085287641e-32,4.27699712948099e-30,"Gabrg1"
"ENSMUSG00000030231.12",1954.11501589514,-1.44382016397303,0.121767384196241,-11.8571994750758,1.97469947864545e-32,4.50099834499254e-30,"Plekha5"
"ENSMUSG00000025321.15",4630.68163146987,2.80975645652763,0.237582005830474,11.8264699664693,2.84871845012265e-32,6.38673336457005e-30,"Itgb8"
"ENSMUSG00000027187.11",4205.65723798154,0.846714201546035,0.0718637676702546,11.7822127755835,4.82105831631076e-32,1.06343215377203e-29,"Cat"
"ENSMUSG00000040124.6",1060.66302670371,-1.25804863505893,0.107107547800937,-11.7456580874866,7.43415149675703e-32,1.61380088681983e-29,"Gorab"
"ENSMUSG00000025871.19",4239.4692173341,0.820554976382897,0.0704704214708815,11.6439629458148,2.46299434475457e-31,5.26311104044743e-29,"4833439L19Rik"
"ENSMUSG00000030226.13",631.714130107405,3.06338833340944,0.263269743727519,11.6359300922176,2.7062396544899e-31,5.69392823304674e-29,"Lmo3"
"ENSMUSG00000027829.16",2383.543215956,-1.40039216681729,0.120683561888128,-11.6038352274971,3.94015964904754e-31,8.16448838793547e-29,"Ccnl1"
"ENSMUSG00000029499.12",162.95750527191,1.86757749283532,0.162683867285647,11.4797952863768,1.66674683845965e-30,3.40215369593645e-28,"Pxmp2"
"ENSMUSG00000013846.11",401.272985996307,-3.41563291288069,0.297671319370609,-11.4745112834607,1.77175873967739e-30,3.56331948879824e-28,"St3gal1"
"ENSMUSG00000028108.17",354.654581349801,-3.46445797554609,0.302844695116358,-11.4397182166753,2.64743980342622e-30,5.24730242777638e-28,"Ecm1"
"ENSMUSG00000046160.7",23238.7502672641,1.96787092877362,0.17285067863269,11.3848030238595,4.97806022341813e-30,9.72570737363804e-28,"Olig1"
"ENSMUSG00000025355.8",572.105474615771,-3.5803368584872,0.315645329004086,-11.3429109493993,8.04239785093202e-30,1.54912440858234e-27,"Mmp19"
"ENSMUSG00000046223.11",221.525279857978,-2.78050346250276,0.245361373692796,-11.3322786739207,9.08110104237445e-30,1.72490469243768e-27,"Plaur"
